Shop Name,Contact,Adress,State,City,GST
Radhika Beauty Parlour  (Jodhpur ),9888672858,Pratap Nagar ,Rajsthan ,Jodhpur ,
Radiant Beauty Parlour  (moradabad ),9888619980,kashiram ,up ,moradabad ,
Eram  (Meerut ),9888601797,Garh road ,UP ,Meerut ,
Erum  (Kashipur ),9888579045,Spectrum mall ,Uttrakhand ,Kashipur ,
Snip Salon  (Meerut),9888566530,Bagpat road ,Uttar Pradesh,Meerut,
Kajal Hair Salon  (Raipur ),9888539257,Mova,Chattisgarh ,Raipur ,
Heena Beauty Parlour  (Nagpur ),9888444564,Takli Godhni ,Maharashtra ,Nagpur ,
Anu Beauty Parlour  (Lucknow ),9888336444,Aliganj,Up,Lucknow ,
Dlight Saloon  (Lucknow ),9888321398,Indra Nagar , Bhoothnath ,U.P.,Lucknow ,
Punjabi Profational  (Kanpur ),9888234558,Vikas nagar ,Uttar Pradesh,Kanpur ,
Hair De (Noida),9888211599,Sec 77, Noida,Uttar Pradesh,Noida,
Muhabath (Lucknow),9888202833,Gomtinagar ,Uttar Pradesh,Lucknow,
Akshayas (Jaunpur ),9888196386,Jaunpur ,Uttar Pradesh ,Jaunpur ,
Blond Studeo (Allahabad ),9888169422,Naini,Uttar Pradesh ,Allahabad ,
Midas Touch Family Salon  (Achhnera),9888164630,Rithani ,Uttar Pradesh,Achhnera,
Dimond Unisex Salon (Jaspur ),9888154467,,Uttrakhand ,Jaspur ,
Pearl Beauty Point  (Bazpur ),9888068601,,Uttrakhand ,Bazpur ,
Beauty Craft Unisex Salon  (Bazpur ),9888066199,,Uttrakhand ,Bazpur ,
Beauty Craft Unisex Salon (Kashipur ),9888022793,,Uttrakhand ,Kashipur ,
Beuaty Craft Unisex Salon  (Rudrapur ),9888010586,rudrapur,uttarakhand ,Rudrapur ,
Saloni Beauty Salon (Bangalore),9888007208,JP nagar ,Karnataka,Bangalore,
Q3 Salon (Bangalore),9887244690,Meeting with NSM jagadeesh sir,Karnataka,Bangalore,
Beauty Hub (Bangalore),9886774826,Kanakpura road ,Karnataka,Bangalore,
Tarika Beauty Salon  (East delhi),9886168989,Dilshad garden,Delhi,East delhi,
Dulhan Makeup Srudio (Bangalore),9882999933,HSR layout ,Karnataka,Bangalore,
Parfact Unisex Salon  (Amritsar ),9881553414,Near trillium mall,Punjab ,Amritsar ,
Sr Beauty Salon  (Amritsar),9880398104,Majitha road gurduware wali gali,Punjab,Amritsar,
Sz Unisex Salon (Amritsar ),9880306063,Gurduare wali gali majitha road ,Punjab ,Amritsar ,
Affinity Studio Unisex Salon  (Moga),9879797980,Bage gali , Moga ,Punjab,Moga,
Elegance Look  (Amritsar ),9879302483,Chamlang road,Punjab ,Amritsar ,
Anjali Beauty Parlour  (Taran tarn),9878861528,Darbar sahib bazar,Punjab ,Taran tarn,
Magnifera Salon  (Panchkula),9878834534,Sec 7,Haryana,Panchkula,
Pragya'S Beauty Clinic  (Panchkula ),9878725348,Sco48 sec 7 Panchkula ,Haryana ,Panchkula ,
Gauri By Karan Soni  (Amritsar ),9878679089,Loharka road,Punjab ,Amritsar ,
Gauri By Karan  (Kapurthala),9878675612,Amritsar road,Punjab,Kapurthala,
Aarif Salon (Kapurthala),9878629203,Near sham sweet kapurthala ,Punjab,Kapurthala,
Harry'S Salon (Kharar),9878576044,Kharar,Kharar,Kharar,
Scissor Edge Salon (Firozepur ),9878566166,Near nam dav chock, Firozpur ,Punjab,Firozepur ,
Oleega Salon (Noida),9878464008,near LIC Building, Model Town, Firozpur, Punjab 152002,Punjab,Noida,
Divine Beauty Studio  (FARIDKOT ),9878429970,Circal road , Faridkot ,Punjab,FARIDKOT ,
Rex Salon (Kapurthala),9878415947,Ramneek chownk kapurthala ,Punjab,Kapurthala,
Daniel Beauty Hub (Kharar),9878383430,New chandigarh ,Kharar,Kharar,
Lucknow Look Unisex Salon  (Jalandhar ),9878353105,Phagwara ,Punjab,Jalandhar ,
Lucknow Looks Salon  (Delhi ),9878269370,Tilak nagar ,Delhi ,Delhi ,
Anoop Creative Touch (Delhi ),9878134830,Tilak nagar ,Delhi ,Delhi ,
Dev Bros Saloon Moga (Delhi ),9878113822,Hari nagar ,Delhi ,Delhi ,
Arjun Makeover (Delhi ),9878099870,B102,  Ashok Nagar Extension, New Ashok Nagar, New Delhi, Delhi, 110096,Delhi ,Delhi ,
Avenue Salon (Noida),9878090890,C Block, Sector 15, Noida, Uttar Pradesh 201301,Uttar Pradesh,Noida,
Healing Spa And Beauty Salon (Delhi ),9877837619,Dwarka ,Delhi ,Delhi ,
M Aijaz Salon  (East delhi),9877836736,E block krishna nagar near capital lab delhu,Delhi,East delhi,
Luxurious Salon (East delhi),9877710298,Gtb enclave dilshad garden,Delhi,East delhi,
Attitude Salon And Academic  (East delhi),9877601112,Gtb janta flat,Delhi,East delhi,
Face Graph Salon (Ghaziabad ),9877525807,Sastri Nagar Market Ghaziabad ,Uttar Pradesh,Ghaziabad ,
Impression Salon (Noida),9877091549,K, 89, 5th Ave, Gaur City 1, Sector 4, Greater Noida West ,Uttar Pradesh,Noida,
Negi Salon (East delhi),9877031723,Mayur vihar ph 2,Delhi,East delhi,
Ki&Ka Salon (Noida),9876946671,First floor, shop, Paras One33, no. 7, sector 133, Noida, Shahpur Govardhanpur Bangar, Uttar Pradesh 201304,Uttar Pradesh ,Noida,
Bobby Hair Designer (Delhi ),9876300843,B-1032 janhagirpuri 
Shop no -8  
Delhi 33,Delhi ,Delhi ,
Rashid Salon (West Delhi ),9876100821,Vikas puri ,Delhi,West Delhi ,
M7 Salon  (Delhi ),9876056582,Dwarka ,Delhi ,Delhi ,
Ashraf Salon (East delhi),9876016806,Balbir nagar shahdara,Delhi,East delhi,
Stuyland Salon (Talwandi Bhai) (Rajkot ),9876016805,Ram park main road,Gujrat ,Rajkot ,
Harry'S Salon  (Kanpur ),9875481843,Kidwai Nagar ,Uttar Pradesh ,Kanpur ,
Abdul Unisex Salon  (Jamshedpur),9874050552,Azadnagar, Near Chepa Pull, Beside HDFC Bank ,Jharkhand,Jamshedpur,
New Afro Unisex Salon  (Jamshedpur),9873898066,1st Floor Tiwari Complex, Thakur Bari Road, Sakchi,Jharkhand,Jamshedpur,
D&D Salon  (Rajkot ),9873879730,Bh d Mart kuvadva road,Gujrat ,Rajkot ,
D&D Salon (chndannagar),9873838352,P.O & P.S Chandannagar 712137,hoogley,chndannagar,
Apeksha Salon (Itanagar),9873828839,Kaggalipura ,Arunachal Pradesh,Itanagar,
Elora Salon (Bangalore ),9873673100,Aseya  road,Karnataka ,Bangalore ,
Nirvana Unisex Salon  (Bangalore),9873640692,Sarjapur road ,Karnataka,Bangalore,
The Royal Saloon  (Bangalore),9873640592,Sarjapur road ,Karnataka,Bangalore,
Ashiyani Beauty Parlour  (Itanagar),9873518587,Rajeevnagar ,Arunachal Pradesh,Itanagar,
San Beauty Parlour  (Abbigeri),9873280270,Vontikoppal ,Karnataka,Abbigeri,
Shree Beauty Salon  (Noida),9873181606,Central Market , Sec 41, Noida,Uttar Pradesh,Noida,
Jazzup Beauty Point  (Noida),9873164626,Cetral Market, Sec 41, Noida,Uttar Pradesh,Noida,
S Kumar Salon (Delhi ),9873123149,Janakpuri ,Delhi ,Delhi ,
House Of Beautty Salon (Dharamkot) (Noida),9873060737,K-1,2nd Floor, Dharam Palace, K Block, Pocket E, Sector 18, Noida, Uttar Pradesh 201301,Uttar Pradesh,Noida,
Simroze Boutique  (Delhi ),9872994203,Moti nagar ,Delhi ,Delhi ,
Kingsway Salon (Delhi),9872934346,Tilak nagar ,Delhi ,Delhi,
Styllo Unisex  (Noida ),9872919764,Gali Number 4, near PNB Bank, Hazipur, Sector 104, Noida, Uttar Pradesh 201304,Uttar Pradesh ,Noida ,
Tanishka Beauty Parlor  (Noida),9872621931,Central Market Sec 50, Noida,Uttar Pradesh,Noida,
Khushboo Beauty Parlour Kotkapura (East delhi),9872375019,East aazad nagar chowk krishna nagar,Delhi,East delhi,
Attractive Salon (Bakhtawarpur),9872374745,M 3 south extn 2 new delhi,Delhi,Bakhtawarpur,
Attractive Beauty Salon  (East delhi),9872320057,Krishna nagar,Delhi,East delhi,
Style Lounge  (North delhi),9872267606,Krishna nagar,Delhi,North delhi,
Urvi Salon  (East delhi),9872158877,Laxmi nagar,Delhi,East delhi,
Beauty Garden Salon Firozpur (Delhi ),9872117014,X block brahampuri ,Delhi ,Delhi ,
The Luxury Salon Kotkapura (East delhi),9871939222,X227. Main road brahmpuri delhib110053,Delhi,East delhi,
Makeup House Salon (Noida),9871811506,Gali No 7 Bhirampuri 
East Delhi ,Uttar Pradesh,Noida,
Shilpa Beauty Salon (Delhi ),9871772601,Uttam Nagar ,Delhi ,Delhi ,
Odel Salon (Rajkot ),9871752535,Kisan. Para chowk,Gujrat ,Rajkot ,
Sania Screen Makeover  (Meerut ),9871669975,Bagpat road ,UP ,Meerut ,
Nice Beauty Salon (Muzaffarnagar ),9871550608,New mandi ,UP,Muzaffarnagar ,
Maintain Beauty Parlor  (Meerut),9871543024,Ashok vihar ,Uttar Pradesh,Meerut,
Bhati Looks  (Meerut ),9871505342,Sadar,UP,Meerut ,
Elen Salon (Achhnera),9871444336,Mawana ,Uttar Pradesh,Achhnera,
Elan Salon (Jodhpur),9871403722,Chb Jodhpur ,Rajasthan,Jodhpur,
Womens Era (Meerut ),9871321135,Kanker khera ,UP ,Meerut ,
Womens Era Salon (Moradabad),9871317943,,Uttar Pradesh,Moradabad,
Styleing Station  (moradabad ),9871252687,buddhi vihar ,up ,moradabad ,
He&She Salon Talwandi Sabo (Meerut ),9871225597,Gandhi colony ,UP,Meerut ,
Colour Crystal Salon Firozpur  (Meerut ),9871028237,RTO road ,UP ,Meerut ,
Style Locs Salon (Roorkee ),9870569187,Talkies complex 1st floor civil lines roorkee ,Uk,Roorkee ,
Style Loc Salon (Roorkee ),9870312204,Roorkee ,Uk,Roorkee ,
Graduate Salon (Meerut),9870116530,Saket ,Uttar Pradesh,Meerut,
Gradute Salon (Meerut ),9870067512,Abulane ,UP,Meerut ,
Graduate Salon  (Meerut),9868430420,Gandhi colony ,Uttar Pradesh,Meerut,
The Hair Studio  (Fatehabad),9868061091,Jwahar chiwk ,Haryana,Fatehabad,
Puzzle Salon & Acedemy  (Hisar),9867862356,Sec 14,Haryana,Hisar,
Puzzle Salon (Hissar ),9867399462,Sec 14,Haryana ,Hissar ,
Kamal Beauty Salon Fdk (Hisar),9867176358,Model town,Haryana,Hisar,
Hobibs  (Fatehabad),9867123456,Main bajar ,Haryana,Fatehabad,
Gurbir Makeover  (ERANAKULAM ),9865730087,Thevara,Kerala ,ERANAKULAM ,
Scissors Makeover  (Quilon),9865326734,Edava,Kerala,Quilon,
Artistry Professional Salon  (Coimbatore ),9861301969,Ganapathy,Tamilnadu ,Coimbatore ,
Hair N Shanti Salon  (Raipur ),9860883953,Shankarnagar,chaipati,Chattisgarh ,Raipur ,
Personaz Unisex Salon  (Diglipur),9860396592,Matunga east ,Andaman and Nicobar Islands,Diglipur,
Absolute Star Unisex Salon (East delhi),9859406282,Dilshad garden,Delhi,East delhi,
Exllent Makeup Studio (Noida),9858397336,Shop nos 2-5 , LGF, Ajnara daffodil market, near Felix Hospital, Paras Tierea, Sector 137, Noida, Uttar Pradesh 201305,Uttar Pradesh,Noida,
Avon Makeover (Noida ),9858070086,Shop No. D, 34, B Block, Gardenia Glory, Sector 46, Noida, Uttar Pradesh 201301,Uttar Pradesh ,Noida ,
Avon Makeup Studio (Noida),9855900188,Sector 137 Paras tiera commercial 2 shop no.21, Noida, Uttar Pradesh 201305,Uttar Pradesh,Noida,
Luxury By Roop  (Noida),9855883990,Felix Hospital, near, Sector 137 Paras tiera commercial 2 shop no.21 grond, Noida, Uttar Pradesh 201305,Uttar Pradesh,Noida,
Lr Luxury By Roop Unisex Salon  (Noida ),9855877993,Felix Hospital, near, Sector 137 Paras tiera commercial 2 shop no.21 grond, Noida, Uttar Pradesh 201305,Uttar Pradesh ,Noida ,
Beauty Unisex Salon  (Faridabad),9855856409,895, Sector 21C, Faridabad,Haryana,Faridabad,
Stylofi Unisex Salon  (Noida),9855822788,A-66, Golf Marg, Block A, Sector 51,Uttar Pradesh,Noida,
Stylofie  Unisex Salon  (East delhi),9855772557,Krishna ngr chhachhi bulding,Delhi,East delhi,
Buddy Makeover (Delhi ),9855762011,Janakpuri ,Delhi ,Delhi ,
Boddy Makover (Ghaziabad ),9855636075,Shastri Nagar Ghaziabad ,Uttar Pradesh,Ghaziabad ,
Beauty N Blonde Unisex Salon  (East delhi),9855630575,Bhola nath nagar,Delhi,East delhi,
Star Angel Beauty Salon (Delhi ),9855554177,Ramesh nagar ,Delhi ,Delhi ,
Ar Dezire Salon  (Delhi ),9855533272,Uttam Nagar ,Delhi ,Delhi ,
Ar Dezire Unisex Salon  (West Delhi ),9855434214,Uttam Nagar ,Delhi ,West Delhi ,
A R Desire Unisex Salon  (Bakhtawarpur),9855355111,Old double story lajpat nagar,Delhi,Bakhtawarpur,
Scissors Square  (Noida),9855336161,Eitta 2 Gr Noida ,Uttar Pradesh,Noida,
Laavish Salon (Delhi ),9855245646,Chhatarpur delhi ,Delhi ,Delhi ,
Lavish Salon (Noida),9855154274,Mandawali, West Vinod Nagar, Delhi PIN- 110092
,Uttar Pradesh,Noida,
Preet Beauty Parlour  (Delhi),9855083607,Shop No 2, DDA Market, B-5, Humayunpur, Safdarjung Enclave, New Delhi, Delhi 110029,Delhi ,Delhi,
Perfect Point  (Noida),9855029125,Shop No. 10, above Airtel Store, J Block, Sector 25, Jal Vayu Vihar, Noida, Uttar Pradesh 201301,Uttar Pradesh,Noida,
Hair Launch (Kanpur ),9854376548,Govind Nagar ,Uttar Pradesh ,Kanpur ,
Shehnai Beauty Salon  (Kanpur ),9851954508,Govind Nagar ,Uttar Pradesh ,Kanpur ,
Amrit Makeover  (Kanpur ),9850749041,Govind Nagar ,Uttar Pradesh ,Kanpur ,
Jasmeen Salon (Lucknow ),9850300540,Jai prakash nagar ,Up,Lucknow ,
New Look Salon (Chandigarh ),9847476476,Sec 19c Chandigarh ,Ut,Chandigarh ,
Hd 76 Salon & Academy  (Amritsar ),9847362252,Gopal mandir chonk ,Punjab ,Amritsar ,
Hd 76 Salon & Acedemy  (Panchkula ),9846846878,Sec 11,Haryana ,Panchkula ,
Priyanka Make Over (Ludhiana ),9846753573,Shop no 62.63.64 opp jain hospital radha Swami road chandigarh road Ludhiana ,Punjab ,Ludhiana ,
Elegant Touch Salon (Chandigarh ),9846514627,Sec 46 chandigarh ,UT ,Chandigarh ,
Elegant Touch Unisex Salon  (Batala),9845926921,Main bazar,Punjab,Batala,
Makeover By Shobha (Lucknow ),9845768476,Teli Bagh, Rukhmani Vihar, Lucknow 226002,Uttar Pradesh,Lucknow ,
Aura Unisex Salon (Lucknow ),9845700442,Telibagh,Up,Lucknow ,
Nice Unisex Salon  (Amritsar),9845432677,Green Avenue ,Punjab,Amritsar,
7 Studio Salon  (Moga),9845237510,Partap road, Moga ,Punjab,Moga,
Beauty Craft Salon  (Pathankot),9844783724,Tangu road,Punjab,Pathankot,
7 Studio Unisex Salon  (Kharar),9844234446,Kharar,Kharar,Kharar,
Hair City Unisex Salon  (Kharar),9840535420,Kharar,Punjab,Kharar,
Bride Makeover (Phagwara ),9839773838,Phagwara ,Punjab ,Phagwara ,
Studio 75 Salon (Hoshiarpur ),9839545639,Mahilpur ,Punjab,Hoshiarpur ,
Kavita Makeover (Kapurthala),9838946164,Busstand kapurthala ,Punjab ,Kapurthala,
Bon Temps Unisex Salon  (Chandigarh ),9838841020,Sco 89 sec 46 c,UT,Chandigarh ,
Hair Plus Unisex Salon  (Amritsar),9838615944,Green Avenue ,Punjab,Amritsar,
Perfection Everyday Wellness (Amritsar ),9838608881,Green avenue ,Punjab ,Amritsar ,
Zs Unisex Salon  (Amritsar),9838475725,Near lal devi Mandir ,Punjab,Amritsar,
Adayein  Salon  (Amritsar ),9838474881,Lal devi mandir rani ka bagh,Punjab ,Amritsar ,
Ridhi Sidhi Beauty Parlour  (Amritsar ),9837958558,Near lal devi mandir,Punjab ,Amritsar ,
 Xclusive Unisex Salon (Chandigarh ),9837902154,Sec 21 chandigarh ,UT ,Chandigarh ,
Wow Makeover Salon (Chandigarh ),9837826800,Sec 21D,UT ,Chandigarh ,
Wow Makeovers  (Panchkula ),9837801731,Sec 8 Panchkula ,Haryana ,Panchkula ,
Beauty Creze  (Jalandhar ),9837659827,Model town ,Punjab,Jalandhar ,
Makeup House Salon  (Jalandhar ),9837659826,Model town jalandhar ,Punjab,Jalandhar ,
Transfarmesion Unisex Salon  (Amritsar ),9837659817,Jamun wali gali,Punjab ,Amritsar ,
Quality Unisex Salon Govind Nagar  (Talwandi bhai),9837658181,Mani bazar , talwandi Bhai ,Punjab,Talwandi bhai,
B Beauty Salon  (Talwandi Bhai),9837455521,Main bajar, talwandi Bhai ,Punjab,Talwandi Bhai,
Kalakaar Salon  (Talwandi bhi ),9837434045,Main bajar, Talwandi bhi,Punjab,Talwandi bhi ,
Puja Beauty Parlour  (Chandigarh),9837224696,Sec 19,Punjab,Chandigarh,
As Tradeline (Chandigarh),9837219737,Sec 44D,Punjab,Chandigarh,
Shruti Make Over  (Mohali),9837129067,Mohali phase 7,Punjab ,Mohali,
Hair Length Salon  (Amritsar),9837105682,Rani ka bagh ,Punjab,Amritsar,
Manish Parlour  (Amritsar ),9837030456,Rani ka bagh,Punjab ,Amritsar ,
Hair Raisers Lux Salon (Chandigarh),9836304104,Sec 34,Punjab,Chandigarh,
Mj Color Trends  (Chandigarh),9835633910,Sec 36,Punjab,Chandigarh,
Mj (Abbigeri),9835547077,Kumarswamy layout ,Karnataka,Abbigeri,
Prince Hair Salon (Muktsar) (Kangra ),9835468321,Main market Palampur ,Himachal Pradesh,Kangra ,
Reetu Beauty Parlour  (Nagpur),9835465949,Manewada ,Maharashtra,Nagpur,
Blue Cut Salon (Bangalore ),9834839242,Cambridge road,Karnataka ,Bangalore ,
Deepa Beauty Salon (Bangalore),9834567212,Anjanapura,Karnataka,Bangalore,
Simran Beauty Salon (Jodhpur ),9834231212,Paota,Rajasthan ,Jodhpur ,
Femz Makeup Studio (Rajkot ),9834079115,Pedak road,Gujrat ,Rajkot ,
The Classic Salon (Dharmkot),9830942491,Main bazar,Dharomkot,Punjab,Dharmkot,
Narinder Makeover  (Kap),9830512760,Sheikhupur kapurthala ,Punjab,Kap,
Narinder Make Over  (Chandigarh ),9830489029,Sec 20 chandigarh ,Ut,Chandigarh ,
The Royal Scissor Salon (Jodhpur ),9830297560,Kudi Chb Jodhpur ,Rajasthan ,Jodhpur ,
Tricoz Salon (Jodhpur ),9830233491,Paota jodhpur ,Rajsthan ,Jodhpur ,
Rafi'S Salon Barnala (Kotkapura ),9830203771,Mane bazar, kotkapura ,Punjab,Kotkapura ,
Ritz Salon (Amritsar),9830076736,Sandhu colony majitha road ,Punjab,Amritsar,
Shobha Chawla Makeover  (Amritsar ),9830074173,Near meer shah dargah majitha road,Punjab ,Amritsar ,
Blush Beauty Salon (Jalandhar ),9829760433,,Punjab,Jalandhar ,
Grace Beauty Salon (Kap),9829699099,Kartarpur road ,Punjab,Kap,
Make Me Up Salon (Ferozepore),9829603538,Mani bazar, Firozpur ,Punjab,Ferozepore,
Punjaban Bride (Kotkapura ),9829026107,Mane bazar, kotkapura ,Punjab,Kotkapura ,
Punjaban Bride  (Chandigarh ),9829026060,Sec 44D chandigarh ,Ut,Chandigarh ,
About U Salon (Kharar),9829021077,Kurali ,Kharar,Kharar,
Man Zone  (Amritsar ),9828626210,C block markit,Punjab ,Amritsar ,
Opera Beauty Parlour  (Amritsar ),9828564210,Ut markit,Punjab ,Amritsar ,
Lal Peira (Kharar),9828474881,Kurali ,Kharar ,Kharar,
Cameo Fashion Factory  (Jodhpur),9827461750,Madore Jodhpur ,Rajasthan,Jodhpur,
Chapter 6 (Jodhpur ),9826478283,Kudi Chb Jodhpur ,Rajasthan ,Jodhpur ,
Al Habib Salon  (Jalandhar ),9826418423,Model town jalandhar ,Punj,Jalandhar ,
Winspa Family Salon (Jalandhar ),9826151605,Model town jalandhar ,Punjab,Jalandhar ,
Shivika Arora (Taran tarn),9826094330,Bohri chonk opp axis bank,Punjab ,Taran tarn,
Shivika Arora  (Taran tarn ),9825428872,Bouri chonk near petrol pump ,Punjab ,Taran tarn ,
Le Orchid  (Tarn Taran),9824564080,Bohri chonk,Punjab,Tarn Taran,
Gorgious Salon  (Jodhpur),9823541262,Sardarpura ,Rajasthan,Jodhpur,
Surabhi Beauty & Makeup  (Talwandi sabo),9822238687,Near court complex, talwandi sabo ,Punjab,Talwandi sabo,
Da Evolve Salon  (Ferozepore),9821663820,Name Dave chock firozepur ,Punjab,Ferozepore,
Shree Beauty Care (Batala),9821208373,Near hasli pul,Punjab,Batala,
Hair Point Salon  (Batala),9821067101,Jalandar road near hasli pull,Punjab ,Batala,
Riya Makeover Salon  (Amritsar),9821007129,A block Markit ,Punjab,Amritsar,
Nancy Saloon  (Amritsar ),9820612008,A block markit,Punjab ,Amritsar ,
Metro Salon (Amritsar ),9820608084,A block markit ,Punjab ,Amritsar ,
Creative Cute Unisex Salon  (Jalandhar ),9820575389,Model town jalandhar ,Punjab ,Jalandhar ,
Orifime Beauty Salon  (Jandala ),9818996735,Lovekuch chonk ,Punjab ,Jandala ,
Shipra Makeover  (Jandiala),9818984055,Lovekuch chonk,Punjab,Jandiala,
Kirti Parlour  (FARIDKOT ),9818915937,Bathan Street, Main Bazar, Faridkot, Punjab 151203,Punjab,FARIDKOT ,
S R Unisex (Amritsar ),9818735747,Kenidv avenue  Amritsar ,Punjab ,Amritsar ,
Anuz Unisex (Patti),9818635205,Taran tarn road,Punjab ,Patti,
S R Unisex  (Taran tarn),9818535410,Jandala byepass,Punjab ,Taran tarn,
Women'S Era Salon  (chandannagar),9818494639,tematha sib mandir chandannagar hooghly,hooghly,chandannagar,
Prerna Makeup Studio  (Kolkata ),9818476551,845, 2, Kalikapur Rd, Purbapally, Kalikapur, Kolkata, West Bengal 700099,West Bengal ,Kolkata ,
Women'S Look Beauty Parlour  (South Delhi ),9818436235,South Extension Part 1, South Delhi ,Delhi ,South Delhi ,
Ndiva Salon (Noida),9818362532,Cetral Market, Sec 41, Noida,Uttar Pradesh,Noida,
N Diva (Noida),9818306337,Central Market , Sec 41, Noida,Uttar Pradesh,Noida,
Gurnoor Salon  (Faridabad),9818279506,1st floor, Sco 138, Market, Sector 21C,Haryana,Faridabad,
The Crown Salon (East delhi),9818266950,Krishna nagar main mkt,Delhi,East delhi,
Colour Makeup Studio  (East delhi),9818235752,Rohtash nagar shivaji park,Delhi,East delhi,
Reflection Salon  (East delhi),9818216424,Shivaji park shahdara,Delhi,East delhi,
Nisha Makeover  (Delhi ),9818127681,Rzh-5 dwarka Sec -1,Delhi ,Delhi ,
Red Lip Salon  (Delhi ),9818122858,Dashrath puri,Delhi ,Delhi ,
Red Lips Makeover  (Hr),9818084112,Lajpat Nagar ,Hr,Hr,
Diamond Salon (Noida),9818075777,Shop No 12, Shopping complex, Lotus Panache, Sector 110,Uttar Pradesh,Noida,
Kharbanda Salon  (Noida ),9818056256,Lotus Panache, Sector 110, Noida, Uttar Pradesh,Uttar Pradesh ,Noida ,
Kamil Hair & Beauty Salon  (East delhi),9818016381,Rohtash nagar shshdara,Delhi,East delhi,
Cloud 9 Salon (East delhi),9817058010,Shivaji park shahdara,Delhi,East delhi,
W Salon  (Noida),9817000575,11th Avenue, Gaur City 2, Greater Noida West ,Uttar Pradesh,Noida,
Roop Nikhar Salon (East delhi),9815982888,Vishwas nagar Pandav road,Delhi,East delhi,
Avitash Bp Family Salon  (Noida),9815961472,Gulshan Ekebana, Shaop No. 103, Sec 143, Noida PIN 201306,Uttar Pradesh ,Noida,
Magmoon Salon (Noida),9815934100,Shop no-103, GULSHAN IKEBANA, street market, near Induslan bank, Sector 143, Noida, Uttar Pradesh 201306,Uttar Pradesh ,Noida,
The Looks Salon  (Noida ),9815853387,Shop no-103, GULSHAN IKEBANA, street market, near Induslan bank, Sector 143, Noida, Uttar Pradesh 201306,Uttar Pradesh ,Noida ,
Aesthetic Salon (Amritsar),9815833427,Green field ,Punjab,Amritsar,
R S Hair Studio  (Amritsar),9815798076,Green field ,Punjab,Amritsar,
Classic Unisex Salon  (Amritsar ),9815691905,Green field majitha road ,Punjab ,Amritsar ,
Rakhi Suman Family Salon  (Kharar),9815512332,New chandigarh ,Kharar,Kharar,
Glamzone Studio Salon (Amritsar),9815483825,Kot khalsha,Punjab,Amritsar,
Silent Tropicana  (Kapurthala),9815483824,Kartarpur road,Punjab ,Kapurthala,
Sudha’S Lbp (Nawashehar ),9815437334,Railway road ,Punjab ,Nawashehar ,
Colours Hair & Beauty Salon (Amritsar ),9815402917,Opp spring dail schol,Punjab ,Amritsar ,
Mirror Care (Amritsar),9815345479,Sultanwind road chora bazar,Punjab,Amritsar,
Jawed Habib Axis Mall (Amritsar),9815178312,100 ft road,Punjab,Amritsar,
Jawed Habib  Axis Mall (Taran tarn),9815131716,Opp aman karana store,Punjab ,Taran tarn,
Shagun Beauty Parlour  (Ajnala),9814974643,Main bazar,Punjab,Ajnala,
Mannu Unisex  (Beas),9814937092,Railway station markit ,Punjab ,Beas,
Yantra Unisex (Bakhtawarpur),9814898007,G 6 masjid moth south extn,Delhi,Bakhtawarpur,
Make Up Zone (Noida),9814875412,Supertech Mall, Sec 61 Noida,Uttar Pradesh,Noida,
Archna Unisex  (Noida),9814775755,Shoprix Mall, Sec 61, Noida,Uttar Pradesh,Noida,
Shades Unisex  (East delhi),9814762710,Mayur vihar ph 2 a poket,Delhi,East delhi,
Ims Salon & Accademy  (East delhi),9814753612,Aachary niketan mayur vihar ,Delhi,East delhi,
Bablas (Noida ),9814189341,Om Sai Market, E-4/4, E Block, Sector 56, Noida, Uttar Pradesh 201301,Uttar Pradesh ,Noida ,
Tokyo (Ghaziabad ),9814120406,Vashundhra Ghaziabad ,Uttar Pradesh,Ghaziabad ,
Pooja Makeover  (Noida),9813468670,E-BLOCK, Paras Tierea, Sector 137, Noida, Uttar Pradesh 201305,Uttar Pradesh ,Noida,
Eves Salon (Noida),9813268978,Shop no. -16, Ajnara Daffodil, opp. Felix Hospital, Paras Tierea, Sector 137, Noida, Uttar Pradesh 201301,Uttar Pradesh ,Noida,
Sakshi Beauty Parlour  (Noida),9813123086,Sector 137 Paras tiera commercial 2 shop no.21 grond, Noida, Uttar Pradesh 201305,Uttar Pradesh ,Noida,
Chocolate Salon  (Noida ),9812677535,E-BLOCK, Paras Tierea, Sector 137, Noida, Uttar Pradesh 201305,Uttar Pradesh ,Noida ,
Formen Salon (Delhi ),9811988934,Mahavir enclave ,Delhi ,Delhi ,
Cut&Curl Salon (East delhi),9811946041,Laxmi nagar,Delhi,East delhi,
Dipali Beauty Parlour  (Noida),9811914882,Sec 75, Noida,Uttar Pradesh,Noida,
Somya Makeover (East delhi),9811861665,Mandoli road shahdara,Delhi,East delhi,
Big Boss  (Delhi),9811833764,Green park main market, Delhi South ,Delhi ,Delhi,
Prabha Makeup Hair Studio  (Noida),9811789120,Sec 22 Noida,Uttar Pradesh ,Noida,
Mm Lounge Unisex Salon  (Noida ),9811784623,Shop. No. 1, Shopping Plaza, JM ORCHID, Aditya Celebrity Homes, Sector 76, Noida, Uttar Pradesh 201301,Uttar Pradesh ,Noida ,
Pincode 19 Family Salon  (Noida),9811744725,Central Market Mall, Sector 120, Noida, Uttar Pradesh 201307,Uttar Pradesh,Noida,
